,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc2430,0.22,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,1
Doc2431,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0
Doc2432,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.22,8
Doc2433,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0
Doc2434,0.02,0.35,0.21,0.02,0.32,0.02,0.02,0.02,0.02,0.02,1
Doc2435,0.22,0.02,0.02,0.22,0.02,0.02,0.42,0.02,0.02,0.02,6
Doc2436,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,7
Doc2437,0.01,0.32,0.01,0.14,0.21,0.14,0.01,0.01,0.12,0.01,1
Doc2438,0.03,0.03,0.03,0.03,0.42,0.03,0.03,0.03,0.03,0.38,4
Doc2439,0.02,0.42,0.02,0.22,0.22,0.02,0.02,0.02,0.02,0.02,1
Doc2440,0.01,0.46,0.01,0.01,0.01,0.01,0.34,0.01,0.12,0.01,1
Doc2441,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.42,0.02,6
Doc2442,0.01,0.01,0.12,0.46,0.01,0.24,0.01,0.12,0.01,0.01,3
Doc2443,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0
Doc2444,0.01,0.01,0.26,0.14,0.01,0.26,0.01,0.14,0.01,0.14,2
Doc2445,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0.44,0.03,0.03,7
Doc2446,0.1,0.46,0.19,0.1,0.01,0.1,0.01,0.01,0.01,0.01,1
Doc2447,0.28,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0
Doc2448,0.02,0.02,0.25,0.02,0.02,0.61,0.02,0.02,0.02,0.02,5
Doc2449,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.64,9
Doc2450,0.01,0.33,0.16,0.01,0.14,0.01,0.18,0.14,0.01,0.01,1
Doc2451,0.22,0.15,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.43,9
Doc2452,0.4,0.22,0.02,0.02,0.02,0.02,0.24,0.02,0.02,0.02,0
Doc2453,0.01,0.01,0.13,0.12,0.12,0.01,0.24,0.01,0.01,0.34,9
Doc2454,0.01,0.01,0.01,0.21,0.01,0.11,0.01,0.01,0.21,0.41,9
Doc2455,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,9
Doc2456,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,9
Doc2457,0.01,0.01,0.3,0.01,0.01,0.01,0.44,0.01,0.16,0.01,6
Doc2458,0.01,0.51,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.21,1
Doc2459,0.02,0.22,0.22,0.02,0.02,0.42,0.02,0.02,0.02,0.02,5
Doc2460,0.3,0.01,0.01,0.01,0.16,0.01,0.3,0.16,0.01,0.01,0
Doc2461,0.25,0.39,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,1
Doc2462,0.02,0.18,0.18,0.02,0.02,0.02,0.52,0.02,0.02,0.02,6
Doc2463,0.3,0.16,0.01,0.01,0.16,0.16,0.01,0.16,0.01,0.01,0
Doc2464,0.01,0.01,0.16,0.01,0.01,0.3,0.16,0.16,0.16,0.01,5
Doc2465,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc2466,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,1
Doc2467,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.56,9
Doc2468,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc2469,0.01,0.01,0.33,0.01,0.41,0.01,0.01,0.01,0.01,0.17,4
Doc2470,0.14,0.33,0.16,0.14,0.01,0.01,0.18,0.01,0.01,0.01,1
Doc2471,0.03,0.03,0.03,0.03,0.03,0.33,0.47,0.03,0.03,0.03,6
Doc2472,0.01,0.18,0.01,0.08,0.21,0.08,0.19,0.08,0.01,0.16,4
Doc2473,0.03,0.03,0.03,0.03,0.03,0.03,0.46,0.03,0.03,0.34,6
Doc2474,0.32,0.01,0.01,0.01,0.01,0.01,0.42,0.01,0.01,0.16,6
Doc2475,0.01,0.57,0.01,0.23,0.01,0.01,0.01,0.01,0.01,0.12,1
Doc2476,0.14,0.08,0.01,0.1,0.17,0.08,0.09,0.01,0.08,0.25,9
Doc2477,0.02,0.02,0.02,0.02,0.35,0.02,0.02,0.02,0.35,0.18,4
Doc2478,0.01,0.01,0.01,0.16,0.13,0.14,0.29,0.01,0.01,0.22,6
Doc2479,0.24,0.2,0.1,0.12,0.01,0.01,0.3,0.01,0.01,0.01,6
Doc2480,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc2481,0.02,0.22,0.02,0.22,0.02,0.42,0.02,0.02,0.02,0.02,5
Doc2482,0.02,0.02,0.35,0.02,0.18,0.02,0.02,0.18,0.18,0.02,2
Doc2483,0.02,0.02,0.02,0.35,0.02,0.02,0.02,0.52,0.02,0.02,7
Doc2484,0.01,0.01,0.01,0.12,0.01,0.01,0.39,0.12,0.21,0.12,6
Doc2485,0.01,0.27,0.01,0.01,0.01,0.1,0.01,0.01,0.1,0.48,9
Doc2486,0.16,0.01,0.01,0.18,0.01,0.18,0.25,0.01,0.16,0.01,6
Doc2487,0.19,0.01,0.01,0.07,0.27,0.01,0.08,0.07,0.07,0.22,4
Doc2488,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc2489,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.28,0.02,0.56,9
Doc2490,0.22,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.22,5
Doc2491,0.01,0.01,0.01,0.01,0.01,0.17,0.37,0.01,0.01,0.36,6
Doc2492,0.14,0.26,0.01,0.26,0.01,0.01,0.14,0.01,0.14,0.01,1
Doc2493,0.02,0.42,0.02,0.22,0.02,0.02,0.22,0.02,0.02,0.02,1
Doc2494,0.01,0.3,0.01,0.16,0.01,0.01,0.01,0.3,0.01,0.16,1
Doc2495,0.18,0.02,0.02,0.02,0.02,0.02,0.52,0.18,0.02,0.02,6
Doc2496,0.31,0.01,0.01,0.12,0.13,0.01,0.01,0.13,0.01,0.26,0
Doc2497,0.01,0.01,0.01,0.01,0.01,0.01,0.41,0.18,0.16,0.17,6
Doc2498,0.02,0.02,0.02,0.21,0.02,0.02,0.02,0.22,0.02,0.45,9
Doc2499,0.03,0.03,0.03,0.03,0.03,0.28,0.27,0.27,0.03,0.03,5
Doc2500,0.01,0.18,0.25,0.01,0.01,0.13,0.01,0.12,0.13,0.14,2
Doc2501,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc2502,0.03,0.27,0.03,0.28,0.03,0.03,0.03,0.03,0.27,0.03,3
Doc2503,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.16,0.44,9
Doc2504,0.11,0.01,0.01,0.01,0.11,0.01,0.31,0.01,0.16,0.26,6
Doc2505,0.42,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0
Doc2506,0.01,0.01,0.13,0.01,0.12,0.21,0.37,0.01,0.13,0.01,6
Doc2507,0.01,0.01,0.28,0.16,0.01,0.16,0.01,0.16,0.01,0.17,2
Doc2508,0.02,0.02,0.02,0.26,0.58,0.02,0.02,0.02,0.02,0.02,4
Doc2509,0.01,0.21,0.12,0.01,0.01,0.12,0.39,0.01,0.01,0.12,6
Doc2510,0.03,0.27,0.03,0.28,0.03,0.03,0.03,0.27,0.03,0.03,3
Doc2511,0.02,0.22,0.02,0.22,0.02,0.42,0.02,0.02,0.02,0.02,5
Doc2512,0.01,0.4,0.01,0.01,0.34,0.01,0.01,0.01,0.16,0.01,1
Doc2513,0.11,0.01,0.31,0.01,0.01,0.21,0.21,0.01,0.01,0.11,2
Doc2514,0.21,0.16,0.01,0.01,0.52,0.01,0.01,0.07,0.01,0.01,4
Doc2515,0.02,0.22,0.02,0.02,0.42,0.02,0.02,0.02,0.22,0.02,4
Doc2516,0.01,0.44,0.01,0.01,0.01,0.01,0.33,0.01,0.14,0.01,1
Doc2517,0.22,0.22,0.02,0.22,0.02,0.02,0.02,0.02,0.22,0.02,0
Doc2518,0.16,0.01,0.16,0.01,0.16,0.01,0.01,0.01,0.16,0.3,9
Doc2519,0.19,0.18,0.11,0.01,0.28,0.01,0.01,0.19,0.01,0.01,4
Doc2520,0.01,0.01,0.01,0.01,0.22,0.12,0.16,0.01,0.21,0.24,9
Doc2521,0.26,0.01,0.51,0.14,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc2522,0.02,0.02,0.02,0.02,0.43,0.02,0.25,0.21,0.02,0.02,4
Doc2523,0.02,0.18,0.02,0.02,0.22,0.02,0.27,0.22,0.02,0.02,6
Doc2524,0.01,0.01,0.13,0.13,0.01,0.27,0.16,0.14,0.12,0.01,5
Doc2525,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc2526,0.09,0.01,0.01,0.1,0.01,0.1,0.4,0.1,0.01,0.19,6
Doc2527,0.02,0.27,0.02,0.31,0.31,0.02,0.02,0.02,0.02,0.02,3
Doc2528,0.01,0.51,0.11,0.01,0.11,0.01,0.01,0.01,0.11,0.11,1
Doc2529,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc2530,0.12,0.19,0.01,0.34,0.01,0.27,0.01,0.01,0.01,0.01,3
Doc2531,0.03,0.03,0.03,0.48,0.32,0.03,0.03,0.03,0.03,0.03,3
Doc2532,0.02,0.02,0.02,0.24,0.02,0.02,0.6,0.02,0.02,0.02,6
Doc2533,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.62,9
Doc2534,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,1
Doc2535,0.36,0.01,0.11,0.2,0.01,0.09,0.01,0.01,0.01,0.2,0
Doc2536,0.28,0.01,0.01,0.01,0.19,0.1,0.21,0.01,0.01,0.17,0
Doc2537,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc2538,0.02,0.02,0.02,0.43,0.02,0.02,0.02,0.23,0.02,0.23,3
Doc2539,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc2540,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc2541,0.22,0.02,0.02,0.26,0.02,0.02,0.38,0.02,0.02,0.02,6
Doc2542,0.01,0.01,0.01,0.36,0.16,0.01,0.39,0.01,0.01,0.01,6
Doc2543,0.01,0.01,0.19,0.01,0.12,0.01,0.01,0.12,0.01,0.5,9
Doc2544,0.01,0.16,0.01,0.16,0.16,0.3,0.01,0.01,0.01,0.16,5
Doc2545,0.09,0.01,0.21,0.01,0.23,0.01,0.01,0.01,0.01,0.43,9
Doc2546,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.28,8
Doc2547,0.35,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,6
Doc2548,0.16,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.3,8
Doc2549,0.03,0.39,0.03,0.03,0.03,0.41,0.03,0.03,0.03,0.03,5
Doc2550,0.02,0.27,0.57,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc2551,0.01,0.01,0.17,0.01,0.43,0.01,0.01,0.01,0.14,0.19,4
Doc2552,0.01,0.01,0.17,0.2,0.01,0.53,0.01,0.01,0.01,0.01,5
Doc2553,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0
Doc2554,0.01,0.11,0.11,0.21,0.21,0.11,0.21,0.01,0.01,0.01,3
Doc2555,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.42,0.22,8
Doc2556,0.01,0.33,0.01,0.3,0.01,0.01,0.15,0.01,0.01,0.15,1
Doc2557,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc2558,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0
Doc2559,0.02,0.22,0.02,0.3,0.02,0.02,0.02,0.02,0.02,0.34,9
Doc2560,0.12,0.01,0.01,0.01,0.01,0.14,0.16,0.14,0.12,0.27,9
Doc2561,0.01,0.57,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.12,1
Doc2562,0.16,0.16,0.01,0.01,0.16,0.16,0.01,0.16,0.16,0.01,0
Doc2563,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.03,0
Doc2564,0.02,0.02,0.21,0.02,0.02,0.21,0.3,0.02,0.18,0.02,6
Doc2565,0.16,0.02,0.22,0.02,0.02,0.02,0.28,0.22,0.02,0.02,6
Doc2566,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2567,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,9
Doc2568,0.01,0.01,0.12,0.01,0.47,0.01,0.01,0.01,0.01,0.35,4
Doc2569,0.23,0.12,0.01,0.23,0.01,0.01,0.01,0.34,0.01,0.01,7
Doc2570,0.01,0.01,0.01,0.01,0.14,0.36,0.01,0.16,0.14,0.14,5
Doc2571,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc2572,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc2573,0.14,0.14,0.01,0.01,0.33,0.01,0.01,0.32,0.01,0.01,4
Doc2574,0.16,0.01,0.01,0.01,0.01,0.01,0.14,0.14,0.01,0.49,9
Doc2575,0.26,0.01,0.14,0.14,0.01,0.26,0.01,0.01,0.01,0.14,0
Doc2576,0.12,0.34,0.01,0.01,0.01,0.12,0.23,0.01,0.01,0.13,1
Doc2577,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.01,0.64,9
Doc2578,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2579,0.18,0.33,0.02,0.02,0.02,0.02,0.02,0.02,0.18,0.21,1
Doc2580,0.02,0.02,0.02,0.34,0.02,0.02,0.22,0.02,0.02,0.3,3
Doc2581,0.26,0.01,0.01,0.14,0.26,0.26,0.01,0.01,0.01,0.01,0
Doc2582,0.22,0.02,0.02,0.02,0.33,0.02,0.02,0.02,0.02,0.31,4
Doc2583,0.03,0.03,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.52,9
Doc2584,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc2585,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,9
Doc2586,0.01,0.01,0.55,0.01,0.28,0.01,0.01,0.01,0.01,0.1,2
Doc2587,0.03,0.27,0.03,0.27,0.03,0.28,0.03,0.03,0.03,0.03,5
Doc2588,0.01,0.35,0.22,0.01,0.22,0.01,0.01,0.01,0.14,0.01,1
Doc2589,0.01,0.01,0.15,0.14,0.01,0.15,0.36,0.14,0.01,0.01,6
Doc2590,0.16,0.3,0.01,0.16,0.01,0.01,0.3,0.01,0.01,0.01,1
Doc2591,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc2592,0.02,0.02,0.28,0.29,0.02,0.3,0.02,0.02,0.02,0.02,5
Doc2593,0.26,0.09,0.09,0.09,0.01,0.01,0.01,0.01,0.43,0.01,8
Doc2594,0.18,0.02,0.02,0.02,0.02,0.02,0.52,0.02,0.18,0.02,6
Doc2595,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,1
Doc2596,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2597,0.02,0.52,0.18,0.02,0.02,0.02,0.02,0.02,0.18,0.02,1
Doc2598,0.01,0.01,0.15,0.19,0.15,0.01,0.26,0.01,0.01,0.18,6
Doc2599,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc2600,0.02,0.27,0.02,0.02,0.02,0.02,0.37,0.22,0.02,0.02,6
Doc2601,0.01,0.01,0.16,0.01,0.01,0.46,0.01,0.01,0.01,0.3,5
Doc2602,0.18,0.35,0.02,0.02,0.02,0.02,0.02,0.18,0.02,0.18,1
Doc2603,0.02,0.02,0.02,0.02,0.02,0.49,0.18,0.02,0.21,0.02,5
Doc2604,0.02,0.02,0.02,0.38,0.26,0.02,0.22,0.02,0.02,0.02,3
Doc2605,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,1
Doc2606,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.42,3
Doc2607,0.46,0.12,0.01,0.01,0.01,0.01,0.01,0.34,0.01,0.01,0
Doc2608,0.27,0.03,0.28,0.28,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc2609,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.62,0.02,0.02,7
Doc2610,0.01,0.31,0.12,0.01,0.39,0.12,0.01,0.01,0.01,0.01,4
Doc2611,0.17,0.58,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.01,1
Doc2612,0.03,0.03,0.03,0.52,0.28,0.03,0.03,0.03,0.03,0.03,3
Doc2613,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2614,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.22,0.22,0.02,6
Doc2615,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc2616,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2617,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc2618,0.02,0.62,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,1
Doc2619,0.42,0.01,0.01,0.01,0.01,0.01,0.32,0.16,0.01,0.01,0
Doc2620,0.01,0.01,0.01,0.28,0.01,0.01,0.13,0.1,0.01,0.43,9
Doc2621,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.62,0.02,8
Doc2622,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2623,0.01,0.38,0.18,0.01,0.16,0.01,0.2,0.01,0.01,0.01,1
Doc2624,0.02,0.02,0.02,0.2,0.02,0.02,0.67,0.02,0.02,0.02,6
Doc2625,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,2
Doc2626,0.03,0.52,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,1
Doc2627,0.03,0.03,0.03,0.03,0.42,0.03,0.03,0.03,0.03,0.38,4
Doc2628,0.62,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc2629,0.16,0.01,0.16,0.16,0.01,0.01,0.01,0.16,0.01,0.3,9
Doc2630,0.18,0.02,0.02,0.02,0.02,0.02,0.18,0.02,0.35,0.18,8
Doc2631,0.01,0.33,0.01,0.12,0.14,0.13,0.01,0.01,0.01,0.23,1
Doc2632,0.16,0.01,0.15,0.01,0.01,0.46,0.01,0.01,0.01,0.16,5
Doc2633,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc2634,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc2635,0.02,0.02,0.02,0.02,0.57,0.02,0.02,0.27,0.02,0.02,4
Doc2636,0.18,0.18,0.18,0.02,0.02,0.02,0.02,0.35,0.02,0.02,7
Doc2637,0.01,0.01,0.12,0.01,0.17,0.01,0.2,0.35,0.01,0.12,7
Doc2638,0.02,0.02,0.02,0.02,0.02,0.42,0.22,0.02,0.22,0.02,5
Doc2639,0.16,0.08,0.09,0.3,0.13,0.01,0.11,0.01,0.01,0.09,3
Doc2640,0.01,0.01,0.14,0.01,0.01,0.01,0.19,0.01,0.01,0.59,9
Doc2641,0.02,0.02,0.21,0.44,0.02,0.02,0.02,0.23,0.02,0.02,3
Doc2642,0.14,0.14,0.01,0.01,0.01,0.01,0.64,0.01,0.01,0.01,6
Doc2643,0.41,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.34,0
Doc2644,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0
Doc2645,0.02,0.35,0.02,0.26,0.02,0.27,0.02,0.02,0.02,0.02,1
Doc2646,0.02,0.02,0.02,0.02,0.15,0.02,0.25,0.02,0.49,0.02,8
Doc2647,0.01,0.3,0.16,0.16,0.01,0.01,0.01,0.01,0.3,0.01,1
Doc2648,0.01,0.01,0.12,0.01,0.01,0.01,0.12,0.01,0.23,0.46,9
Doc2649,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc2650,0.01,0.09,0.01,0.01,0.34,0.01,0.42,0.01,0.09,0.01,6
Doc2651,0.02,0.02,0.21,0.02,0.32,0.02,0.02,0.35,0.02,0.02,7
Doc2652,0.11,0.01,0.01,0.01,0.21,0.11,0.01,0.01,0.41,0.11,8
Doc2653,0.02,0.42,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0.02,1
Doc2654,0.02,0.02,0.02,0.49,0.2,0.02,0.02,0.02,0.2,0.02,3
Doc2655,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc2656,0.02,0.02,0.02,0.3,0.02,0.02,0.02,0.02,0.22,0.34,9
Doc2657,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.42,0.02,8
Doc2658,0.12,0.01,0.01,0.35,0.01,0.01,0.01,0.01,0.12,0.35,3
Doc2659,0.02,0.02,0.02,0.02,0.02,0.35,0.35,0.02,0.18,0.02,5
Doc2660,0.01,0.01,0.13,0.12,0.01,0.13,0.32,0.01,0.12,0.12,6
Doc2661,0.22,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.02,0.02,6
Doc2662,0.14,0.01,0.13,0.32,0.01,0.01,0.34,0.01,0.01,0.01,6
Doc2663,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc2664,0.01,0.01,0.12,0.01,0.01,0.24,0.01,0.24,0.11,0.24,5
Doc2665,0.28,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2666,0.02,0.42,0.22,0.02,0.02,0.02,0.22,0.02,0.02,0.02,1
Doc2667,0.02,0.22,0.02,0.3,0.02,0.02,0.02,0.02,0.02,0.34,9
Doc2668,0.02,0.02,0.02,0.02,0.02,0.64,0.02,0.02,0.02,0.23,5
Doc2669,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc2670,0.34,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0.23,0.19,0
Doc2671,0.18,0.18,0.02,0.02,0.02,0.18,0.18,0.02,0.18,0.02,0
Doc2672,0.02,0.22,0.02,0.02,0.22,0.22,0.02,0.02,0.22,0.02,1
Doc2673,0.01,0.01,0.44,0.01,0.01,0.01,0.01,0.16,0.01,0.3,2
Doc2674,0.01,0.3,0.16,0.3,0.01,0.16,0.01,0.01,0.01,0.01,1
Doc2675,0.01,0.31,0.01,0.13,0.28,0.13,0.01,0.01,0.11,0.01,1
Doc2676,0.26,0.02,0.24,0.36,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc2677,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,9
Doc2678,0.01,0.01,0.34,0.01,0.01,0.23,0.01,0.12,0.12,0.12,2
Doc2679,0.17,0.23,0.01,0.01,0.01,0.51,0.01,0.01,0.01,0.01,5
Doc2680,0.1,0.28,0.01,0.19,0.01,0.01,0.28,0.1,0.01,0.01,1
Doc2681,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc2682,0.22,0.34,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc2683,0.08,0.32,0.32,0.08,0.01,0.01,0.08,0.01,0.08,0.01,1
Doc2684,0.1,0.1,0.01,0.42,0.11,0.01,0.12,0.01,0.01,0.11,3
Doc2685,0.01,0.01,0.01,0.01,0.33,0.01,0.23,0.01,0.01,0.34,9
Doc2686,0.22,0.02,0.42,0.02,0.02,0.02,0.22,0.02,0.02,0.02,2
Doc2687,0.01,0.01,0.2,0.01,0.2,0.14,0.14,0.26,0.01,0.01,7
Doc2688,0.01,0.34,0.01,0.23,0.12,0.12,0.01,0.01,0.12,0.01,1
Doc2689,0.19,0.01,0.12,0.01,0.27,0.12,0.01,0.26,0.01,0.01,4
Doc2690,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.22,0.42,9
Doc2691,0.01,0.25,0.01,0.26,0.14,0.14,0.01,0.01,0.01,0.15,3
Doc2692,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.01,0.01,0.44,3
Doc2693,0.09,0.16,0.01,0.27,0.2,0.01,0.01,0.16,0.01,0.09,3
Doc2694,0.14,0.01,0.01,0.14,0.01,0.01,0.26,0.39,0.01,0.01,7
Doc2695,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc2696,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc2697,0.12,0.23,0.12,0.01,0.01,0.12,0.01,0.01,0.23,0.12,1
Doc2698,0.02,0.02,0.02,0.22,0.02,0.22,0.42,0.02,0.02,0.02,6
Doc2699,0.22,0.02,0.23,0.02,0.02,0.02,0.02,0.02,0.02,0.41,9
Doc2700,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc2701,0.25,0.01,0.01,0.12,0.13,0.01,0.14,0.12,0.01,0.2,0
Doc2702,0.42,0.01,0.01,0.11,0.15,0.01,0.1,0.01,0.17,0.01,0
Doc2703,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc2704,0.01,0.01,0.18,0.01,0.01,0.01,0.27,0.16,0.01,0.3,9
Doc2705,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc2706,0.01,0.01,0.15,0.01,0.3,0.16,0.14,0.01,0.01,0.18,4
Doc2707,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,1
Doc2708,0.26,0.26,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.01,6
Doc2709,0.02,0.02,0.02,0.02,0.57,0.02,0.02,0.02,0.02,0.27,4
Doc2710,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,4
Doc2711,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc2712,0.02,0.22,0.02,0.02,0.02,0.3,0.02,0.34,0.02,0.02,7
Doc2713,0.01,0.01,0.01,0.13,0.14,0.01,0.32,0.01,0.34,0.01,8
Doc2714,0.01,0.01,0.12,0.01,0.01,0.13,0.26,0.21,0.01,0.23,6
Doc2715,0.16,0.01,0.3,0.01,0.01,0.3,0.01,0.16,0.01,0.01,2
Doc2716,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.22,0.02,0.22,6
Doc2717,0.24,0.08,0.09,0.01,0.09,0.01,0.01,0.01,0.01,0.45,9
Doc2718,0.02,0.02,0.02,0.42,0.02,0.22,0.02,0.02,0.02,0.22,3
Doc2719,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,2
