,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc22882,0.01,0.23,0.01,0.24,0.01,0.15,0.01,0.11,0.01,0.23,3
Doc22883,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.42,0.02,7
Doc22884,0.22,0.02,0.02,0.02,0.22,0.02,0.42,0.02,0.02,0.02,6
Doc22885,0.01,0.01,0.34,0.21,0.01,0.01,0.01,0.01,0.17,0.2,2
Doc22886,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.22,8
Doc22887,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc22888,0.2,0.01,0.01,0.13,0.01,0.13,0.35,0.13,0.01,0.01,6
Doc22889,0.03,0.28,0.28,0.03,0.03,0.03,0.03,0.27,0.03,0.03,1
Doc22890,0.22,0.22,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,4
Doc22891,0.39,0.01,0.16,0.01,0.19,0.01,0.01,0.18,0.01,0.01,0
Doc22892,0.18,0.02,0.18,0.18,0.18,0.18,0.02,0.02,0.02,0.02,0
Doc22893,0.18,0.02,0.02,0.02,0.02,0.18,0.18,0.18,0.02,0.18,0
Doc22894,0.01,0.01,0.01,0.01,0.15,0.14,0.17,0.01,0.34,0.14,8
Doc22895,0.12,0.28,0.01,0.16,0.01,0.01,0.2,0.01,0.01,0.18,1
Doc22896,0.22,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.22,0.02,6
Doc22897,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.15,0.01,0.43,9
Doc22898,0.01,0.12,0.13,0.01,0.01,0.13,0.16,0.14,0.01,0.27,9
Doc22899,0.01,0.01,0.01,0.28,0.1,0.28,0.01,0.1,0.01,0.19,3
Doc22900,0.28,0.01,0.01,0.01,0.19,0.18,0.27,0.01,0.01,0.01,0
Doc22901,0.02,0.02,0.02,0.02,0.29,0.35,0.02,0.22,0.02,0.02,5
Doc22902,0.01,0.3,0.01,0.18,0.42,0.01,0.01,0.01,0.01,0.01,4
Doc22903,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc22904,0.01,0.15,0.07,0.07,0.21,0.07,0.07,0.01,0.07,0.26,9
Doc22905,0.03,0.03,0.4,0.03,0.4,0.03,0.03,0.03,0.03,0.03,2
Doc22906,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,1
Doc22907,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc22908,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,1
Doc22909,0.21,0.01,0.01,0.01,0.41,0.01,0.01,0.11,0.21,0.01,4
Doc22910,0.02,0.02,0.02,0.24,0.2,0.02,0.02,0.02,0.02,0.45,9
Doc22911,0.01,0.01,0.12,0.12,0.12,0.24,0.14,0.12,0.11,0.01,5
Doc22912,0.01,0.21,0.01,0.24,0.13,0.12,0.14,0.12,0.01,0.01,3
Doc22913,0.02,0.02,0.02,0.02,0.33,0.18,0.21,0.18,0.02,0.02,4
Doc22914,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,7
Doc22915,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc22916,0.02,0.22,0.02,0.42,0.02,0.02,0.02,0.02,0.22,0.02,3
